,Actual,Predicted
0,161.0,151.5261551185554
1,154.0,155.53719235192105
2,248.0,229.98026478678506
3,145.0,116.7484474288008
4,441.0,389.2239164466241
5,272.0,343.70933596290115
6,146.0,149.25885975032864
7,105.0,93.94763365403335
8,217.0,199.30719450362952
9,135.0,108.68393756055005
10,194.0,186.08132659269316
11,191.0,182.52548311411513
12,162.0,158.3639228173502
13,109.0,106.0467615749308
14,142.0,134.00417256863287
15,122.0,124.6981205692878
16,728.0,473.48595940753285
17,98.0,96.82181219649786
18,257.0,204.0446866250509
19,151.0,120.43748157364601
20,137.0,131.78383660721877
21,143.0,129.7957795098787
22,420.0,419.76176856793745
23,134.0,158.04577673825546
24,59.0,75.0602229906049
25,157.0,134.76458644732477
26,115.0,106.15482589134766
27,114.0,151.4664554668066
28,112.0,136.64103994824248
29,446.0,395.6041424306545
30,204.0,225.45590216852136
31,89.0,116.53493803357699
32,69.0,80.34976997051265
33,135.0,130.23137633365107
34,207.0,218.41083355066942
35,146.0,153.13752098730177
36,111.0,97.4023647308509
37,119.0,128.54481348834955
38,334.0,327.76384571049994
39,138.0,108.38272144480428
40,104.0,106.18855258524994
41,134.0,120.50358774990448
42,326.0,322.5814581739919
43,215.0,208.72016145209776
44,104.0,133.91844428426842
45,237.0,236.68713504699693
46,160.0,157.7852017489072
47,122.0,132.11454249662486
48,188.0,160.73230198196828
49,106.0,146.7490343616096
