date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,D_pm25,D_pm10,D_o3,D_no2,D_so2,D_co,P_pm25,P_pm10,P_o3,P_no2,P_so2,P_co
2019-11-01,441,,29,7,6,21,370,430,15,27,4,10,195,184,12,10,1,1
2019-11-02,330,,38,7,4,25,288,281,11,17,5,10,194,202,16,12,2,1
2019-11-03,464,,54,7,6,15,474,561,11,16,5,10,236,94,17,10,2,1
2019-11-04,294,,56,7,7,12,290,206,17,15,5,9,161,114,18,16,2,1
2019-11-05,218,,39,7,9,14,250,149,18,15,6,10,162,171,11,19,5,1
2019-11-06,184,,25,7,7,18,155,113,14,14,5,11,205,66,12,13,4,1
2019-11-07,230,,64,7,6,22,222,171,8,5,5,9,109,46,16,9,4,1
2019-11-08,228,,47,7,8,16,199,145,17,3,5,12,86,63,15,9,2,1
2019-11-09,182,,61,7,6,15,188,131,17,9,5,8,115,87,18,10,2,1
2019-11-10,234,,59,7,10,20,216,155,22,13,6,14,160,123,16,8,2,1
2019-11-11,277,,64,7,10,24,264,244,24,16,6,23,180,151,16,7,2,1
2019-11-12,363,,32,7,13,29,364,369,28,18,6,17,187,137,9,7,2,1
2019-11-13,384,,42,7,12,33,392,403,23,27,5,14,181,149,10,7,2,1
2019-11-14,364,,34,7,6,29,390,423,12,45,6,25,183,117,5,7,2,1
2019-11-15,438,,49,7,7,13,384,379,21,29,6,21,165,121,3,5,2,1
2019-11-16,224,,33,7,9,10,220,170,22,13,6,7,133,73,3,10,1,1
2019-11-17,154,,34,7,7,11,155,104,20,8,5,5,102,89,3,10,2,1
2019-11-18,154,,47,7,7,15,170,111,22,4,5,10,130,115,9,10,2,1
2019-11-19,183,,34,7,7,27,177,130,21,4,6,15,166,98,4,12,3,1
2019-11-20,216,,92,7,28,32,206,185,27,8,7,20,167,106,9,19,3,3
2019-11-21,303,,71,7,15,24,230,219,38,30,7,27,171,77,10,19,2,
2019-11-22,214,,32,7,11,17,222,205,31,17,6,20,155,57,15,18,2,
2019-11-23,186,,48,7,9,11,187,151,16,12,5,8,116,59,14,21,2,
2019-11-24,170,,54,7,25,16,167,111,20,11,6,5,122,70,14,22,2,
2019-11-25,172,,46,7,40,14,184,155,16,22,7,16,133,77,5,25,5,
2019-11-26,177,,41,7,19,11,169,125,61,22,5,11,137,55,8,26,3,
2019-11-27,136,,19,7,10,9,131,91,16,22,6,7,98,44,7,23,2,
2019-11-28,90,,28,7,15,12,79,49,16,8,5,3,98,44,6,21,2,
2019-11-29,133,,30,7,12,14,114,72,17,17,7,8,83,40,10,17,1,
2019-11-30,168,,43,7,10,14,165,99,15,17,5,8,83,58,6,16,2,
